序号,按音序排列,检字表,题型,子题型,题目,答案,选项一,选项二,选项三,选项四
175,C,纯,选择题,2选1,纯熟,纯,纯,醇,,
176,C,纯,选择题,2选1,纯真无邪,纯,纯,醇,,
177,C,醇,选择题,2选1,酒味醇美,醇,纯,醇,,
178,C,醇,选择题,2选1,大醇小疵,醇,纯,醇,,
179,C,醇,选择题,2选1,味道醇和,醇,纯,醇,,
180,C,醇,选择题,2选1,醇香,醇,纯,醇,,
181,C,疵,选择题,2选1,吹毛求疵,疵,刺,疵,,
182,C,辞,选择题,2选1,义不容辞,辞,词,辞,,
183,C,从,选择题,2选1,无所适从,从,从,丛,,
184,C,从,选择题,2选1,从善如流,从,从,丛,,
185,C,从,选择题,2选1,听从,从,从,丛,,
186,C,从,选择题,2选1,顺从,从,从,丛,,
187,C,匆,选择题,2选1,匆促,匆,葱,匆,,
188,C,匆,选择题,2选1,行色匆匆,匆匆,葱葱,匆匆,,
189,C,葱,选择题,2选1,葱茏,葱,葱,匆,,
190,C,葱,选择题,2选1,郁郁葱葱,葱葱,葱葱,匆匆,,
191,C,丛,选择题,2选1,丛莽,丛,从,丛,,
192,C,丛,选择题,2选1,百弊丛生,丛,从,丛,,
193,C,丛,选择题,2选1,百感丛集,丛,从,丛,,
194,C,从,选择题,2选1,轻装简从,从,从,丛,,
195,C,丛,选择题,2选1,食物丛杂,丛,从,丛,,
262,D,迭,选择题,2选1,迭挫强敌,迭,跌,迭,,
275,D,顶,选择题,2选1,绝顶聪明,顶,鼎,顶,,
276,D,顶,选择题,2选1,罚不顶罪,顶,鼎,顶,,
277,D,顶,选择题,2选1,顶尖人物,顶,鼎,顶,,
278,D,鼎,选择题,2选1,革故鼎新,鼎,鼎,顶,,
279,D,鼎,选择题,2选1,鼎盛时期,鼎,鼎,顶,,
280,D,鼎,选择题,2选1,鼎鼎大名,鼎鼎,鼎鼎,顶顶,,
281,D,鼎,选择题,2选1,鼎力相助,鼎,鼎,顶,,
282,D,订,选择题,2选1,订立,订,定,订,,
283,D,订,选择题,2选1,签订,订,定,订,,
284,D,定,选择题,2选1,定论,定,定,订,,
285,D,定,选择题,2选1,协定,定,定,订,,
290,D,杜,选择题,2选1,杜绝浪费,杜,杜,堵,,
291,D,度,选择题,2选1,欢度春节,度,渡,度,,
292,D,渡,选择题,2选1,渡过难关,渡,度,渡,,
293,D,渡,选择题,2选1,横渡长江,渡,度,渡,,
294,D,囤,选择题,2选1,囤积居奇,囤,屯,囤,,
295,D,咄,选择题,2选1,咄咄逼人,咄咄,咄咄,绌绌,,
296,D,堕,选择题,2选1,堕落腐化,堕,堕,坠,,
301,F,烦,选择题,2选1,要言不烦,烦,繁,烦,,
302,F,反,选择题,2选1,拨乱反正,反,反,返,,
303,F,反,选择题,2选1,易如反掌,反,翻,反,,
304,F,反,选择题,2选1,举一反三,反,反,返,,
305,F,反,选择题,2选1,义无反顾,反,返,反,,
306,F,反,选择题,2选1,物极必反,反,返,反,,
308,F,返,选择题,2选1,回光返照,返,反,返,,
309,F,返,选择题,2选1,返工重来,返,返,反,,
312,F,菲,选择题,2选1,妄自菲薄,菲,非,菲,,
314,F,蜚,选择题,2选1,流言蜚语,蜚,蜚,斐,,
323,F,分,选择题,2选1,安分守己,分,份,分,,
324,F,分,选择题,2选1,老实本分,分,分,份,,
325,F,分,选择题,2选1,分内之事,分,份,分,,
334,F,釜,选择题,2选1,釜底抽薪,釜,斧,釜,,
335,F,釜,选择题,2选1,破釜沉舟,釜,斧,釜,,
339,F,覆,选择题,2选1,翻来覆去,覆,复,覆,,
340,F,覆,选择题,2选1,天翻地覆,覆,覆,复,,
356,G,贡,选择题,2选1,贡献巨大,贡,供,贡,,
361,G,股,选择题,2选1,悬梁刺股,股,骨,股,,
375,G,诡,选择题,2选1,阴谋诡计,诡,诡,鬼,,
377,H,赅,选择题,2选1,言简意赅,赅,该,赅,,
385,H,亨,选择题,2选1,官运亨通,亨,享,亨,,
387,H,烘,选择题,2选1,暖烘烘,烘烘,烘烘,哄哄,,
388,H,宏,选择题,2选1,宽宏大量,宏,宏,弘,,
394,H,猾,选择题,2选1,老奸巨猾,猾,滑,猾,,
402,H,肓,选择题,2选1,病入膏肓,肓,盲,肓,,
415,H,豁,选择题,2选1,豁然开朗,豁,忽,豁,,
430,J,疾,选择题,2选1,奋笔疾书,疾,疾,急,,
451,J,嘉,选择题,2选1,嘉言懿行,嘉,佳,嘉,,
462,J,菅,选择题,2选1,草菅人命,菅,菅,官,,
465,J,拣,选择题,2选1,挑肥拣瘦,拣,捡,拣,,
475,J,节,选择题,2选1,开源节流,节,截,节,,
479,J,截,选择题,2选1,截长补短,截,接,截,,
480,J,截,选择题,2选1,直截了当,截,接,截,,
481,J,截,选择题,2选1,斩钉截铁,截,接,截,,
484,J,藉,选择题,2选1,含蓄蕴藉,藉,藉,籍,,
485,J,金,选择题,2选1,一诺千金,金,金,斤,,
489,J,噤,选择题,2选1,噤若寒蝉,噤,禁,噤,,
492,J,阱,选择题,2选1,陷阱,阱,井,阱,,
498,J,鸠,选择题,2选1,鸠形鹄面,鸠,鸠,鸩,,
500,J,咎,选择题,2选1,引咎自责,咎,疚,咎,,
501,J,俱,选择题,2选1,一应俱全,俱,俱,具,,
502,J,俱,选择题,2选1,面面俱到,俱,具,俱,,
503,J,俱,选择题,2选1,万籁俱寂,俱,具,俱,,
517,K,刊,选择题,2选1,不刊之论,刊,堪,刊,,
518,K,戡,选择题,2选1,戡平叛乱,戡,戡,勘,,
522,K,窠,选择题,2选1,不落窠臼,窠,窠,巢,,
524,K,克,选择题,2选1,克己奉公,克,刻,克,,
525,K,克,选择题,2选1,克勤刻俭,克,克,刻,,
526,K,脍,选择题,2选1,脍炙人口,脍,烩,脍,,
530,L,蜡,选择题,2选1,味同嚼蜡,蜡,蜡,腊,,
542,L,羸,选择题,2选1,身体羸弱,羸,嬴,羸,,
543,L,垒,选择题,2选1,森严壁垒,垒,垒,磊,,
544,L,累,选择题,2选1,危如累卵,累,磊,累,,
548,L,李,选择题,2选1,桃李满园,李,李,梨,,
570,L,例,选择题,2选1,史无前例,例,例,列,,
571,L,戾,选择题,2选1,暴烈恣戾,戾,戾,睢,,
573,L,栗,选择题,2选1,火中取栗,栗,栗,粟,,
574,L,唳,选择题,2选1,风声鹤唳,唳,唳,戾,,
575,L,俩,选择题,2选1,娘俩,俩,两,俩,,
578,L,联,选择题,2选1,蝉联冠军,联,联,连,,
579,L,联,选择题,2选1,珠联璧合,联,连,联,,
580,L,联,选择题,2选1,浮想联翩,联,联,连,,
581,L,敛,选择题,2选1,横征暴敛,敛,敛,殓,,
582,L,炼,选择题,2选1,炼成钢,炼,炼,练,,
583,L,炼,选择题,2选1,千锤百炼,炼,练,炼,,
584,L,粱,选择题,2选1,黄粱美梦,粱,粱,梁,,
585,L,寥,选择题,2选1,寥若晨星,寥,廖,寥,,
590,L,浏,选择题,2选1,浏览报纸,浏,流,浏,,
594,L,陆,选择题,2选1,飞机着陆,陆,落,陆,,
609,M,茅,选择题,2选1,名列前茅,茅,茅,矛,,
611,M,没,选择题,2选1,没齿不忘,没,没,末,,
612,M,昧,选择题,2选1,个中三昧,昧,味,昧,,
634,M,名,选择题,2选1,名片,名,明,名,,
640,M,明,选择题,2选1,明信片,明,名,明,,
641,M,明,选择题,2选1,明哲保身,明,明,名,,
642,M,明,选择题,2选1,明珠暗投,明,明,名,,
661,N,挠,选择题,2选1,抓耳挠腮,挠,扰,挠,,
673,P,蓬,选择题,2选1,蓬荜生辉,蓬,蓬,篷,,
681,P,破,选择题,2选1,势如破竹,破,爆,破,,
690,Q,气,选择题,2选1,天然气,气,汽,气,,
691,Q,气,选择题,2选1,煤气管道,气,气,汽,,
695,Q,砌,选择题,2选1,雕砌,砌,彻,砌,,
696,Q,葺,选择题,2选1,修葺一新,葺,茸,葺,,
699,Q,搴,选择题,2选1,斩将搴旗,搴,搴,骞,,
702,Q,怯,选择题,2选1,卑怯,怯,怯,却,,
703,Q,锲,选择题,2选1,锲而不舍,锲,契,锲,,
704,Q,沁,选择题,2选1,浸人沁脾,沁,沁,心,,
705,Q,清,选择题,2选1,山清水秀,清,青,清,,
709,Q,屈,选择题,2选1,理屈词穷,屈,曲,屈,,
712,Q,却,选择题,2选1,望而却步,却,却,怯,,
713,Q,阙,选择题,2选1,拾遗补阙,阙,缺,阙,,
732,S,煞,选择题,2选1,大煞风景,煞,杀,煞,,
733,S,煞,选择题,2选1,脸色煞白,煞,杀,煞,,
734,S,煞,选择题,2选1,煞费苦心,煞,杀,煞,,
739,S,赏,选择题,2选1,赏心悦目,赏,爽,赏,,
742,S,稍,选择题,2选1,稍纵即逝,稍,少,稍,,
743,S,少,选择题,2选1,少安毋躁,少,稍,少,,
748,S,身,选择题,2选1,终身大事,身,生,身,,
749,S,甚,选择题,2选1,不求甚解,甚,深,甚,,
750,S,升,选择题,2选1,歌舞升平,升,升,生,,
752,S,生,选择题,2选1,素昧平生,生,身,生,,
753,S,生,选择题,2选1,谈笑风生,生,声,生,,
754,S,生,选择题,2选1,奋斗终生,生,生,身,,
758,X,省,选择题,2选1,不省人事,省,省,醒,,
760,S,施,选择题,2选1,发号施令,施,施,司,,
764,S,势,选择题,2选1,势不两立,势,誓,势,,
765,S,饰,选择题,2选1,拒谏饰非,饰,是,饰,,
768,S,拭,选择题,2选1,拭目以待,拭,试,拭,,
773,S,弑,选择题,2选1,弑君夺位,弑,弑,杀,,
774,S,释,选择题,2选1,爱不释手,释,释,失,,
775,S,首,选择题,2选1,首屈一指,首,手,首,,
784,S,铄,选择题,2选1,精神矍铄,铄,烁,铄,,
785,S,铄,选择题,2选1,铄石流金,铄,烁,铄,,
786,S,铄,选择题,2选1,众口铄金,铄,铄,烁,,
787,S,司,选择题,2选1,各司其职,司,施,司,,
794,S,祟,选择题,2选1,鬼鬼祟祟,祟祟,崇崇,祟祟,,
798,T,袒,选择题,2选1,袒胸露臂,袒,袒,坦,,
799,T,炭,选择题,2选1,煤炭,炭,炭,碳,,
800,T,炭,选择题,2选1,生灵涂炭,炭,碳,炭,,
801,T,炭,选择题,2选1,雪中送炭,炭,碳,炭,,
804,T,誊,选择题,2选1,誊写文章,誊,誉,誊,,
808,T,殄,选择题,2选1,暴殄天物,殄,舔,殄,,
814,T,恸,选择题,2选1,千古一恸,恸,痛,恸,,
815,T,头,选择题,2选1,出人头地,头,投,头,,
816,T,头,选择题,2选1,头头是道,头头,投投,头头,,
817,T,投,选择题,2选1,走投无路,投,头,投,,
818,T,投,选择题,2选1,五体投地,投,头,投,,
819,T,图,选择题,2选1,按图索骥,图,图,途,,
828,W,妄,选择题,2选1,妄自菲薄,妄,妄,枉,,
831,W,望,选择题,2选1,名门望族,望,望,旺,,
861,W,纹,选择题,2选1,纹身,纹,汶,纹,,
866,W,紊,选择题,2选1,有条不紊,紊,稳,紊,,
867,W,瓮,选择题,2选1,瓮中捉鳖,瓮,翁,瓮,,
868,W,瓮,选择题,2选1,瓮声瓮气,瓮瓮,翁翁,瓮瓮,,
870,W,屋,选择题,2选1,爱屋及乌,屋,乌,屋,,
871,W,吾,选择题,2选1,支吾其词,吾,吾,无,,
873,W,务,选择题,2选1,财务科,务,物,务,,
874,X,息,选择题,2选1,息事宁人,息,歇,息,,
875,X,息,选择题,2选1,作息时间,息,息,歇,,
878,X,葸,选择题,2选1,畏葸不前,葸,葸,崽,,
879,X,隙,选择题,2选1,无隙可乘,隙,细,隙,,
883,X,显,选择题,2选1,大显身手,显,显,现,,
884,X,跣,选择题,2选1,科头跣足,跣,跣,洗,,
890,X,祥,选择题,2选1,吉祥,祥,详,祥,,
892,X,享,选择题,2选1,坐享其成,享,享,想,,
895,X,像,选择题,2选1,肖像,像,象,像,,
896,X,像,选择题,2选1,显像管,像,象,像,,
897,X,逍,选择题,2选1,逍遥法外,逍,消,逍,,
898,X,销,选择题,2选1,开销,销,销,消,,
904,X,邪,选择题,2选1,改邪归正,邪,邪,斜,,
905,X,邪,选择题,2选1,歪风邪气,邪,邪,斜,,
906,X,邪,选择题,2选1,歪门邪道,邪,斜,邪,,
908,X,偕,选择题,2选1,白头偕老,偕,偕,携,,
913,X,瀣,选择题,2选1,瀣泄一气,瀣,沆,瀣,,
918,X,休,选择题,2选1,休养生息,休,休,修,,
919,X,修,选择题,2选1,学识修养,修,休,修,,
949,Y,魇,选择题,2选1,梦魇,魇,魇,餍,,
968,Y,杳,选择题,2选1,杳无音信,杳,杳,沓,,
970,Y,叶,选择题,2选1,粗枝大叶,叶,叶,意,,
1004,Y,奕,选择题,2选1,神采奕奕,奕奕,奕奕,弈弈,,
1005,Y,弈,选择题,2选1,弈棋,弈,弈,奕,,
1021,Y,肄,选择题,2选1,学习肄业,肄,肄,肆,,
1033,Y,颖,选择题,2选1,脱颖而出,颖,颍,颖,,
1038,Y,雍,选择题,2选1,雍荣华贵,雍,壅,雍,,
1065,Y,渔,选择题,2选1,坐收渔利,渔,鱼,渔,,
1080,Y,蜮,选择题,2选1,鬼蜮伎俩,蜮,蜮,域,,
1083,Y,园,选择题,2选1,园林园丁,园园,圆圆,园园,,
1084,Y,缘,选择题,2选1,缘木求鱼,缘,沿,缘,,
1085,Y,源,选择题,2选1,世外桃源,源,园,源,,
1098,Z,赃,选择题,2选1,贪赃枉法,赃,脏,赃,,
1099,Z,赃,选择题,2选1,坐地分赃,赃,赃,脏,,
1100,Z,赃,选择题,2选1,栽赃陷害,赃,赃,脏,,
1110,Z,崭,选择题,2选1,崭露头角,崭,崭,暂,,
1116,Z,胀,选择题,2选1,肿胀,胀,胀,涨,,
1117,Z,胀,选择题,2选1,通货膨胀,胀,涨,胀,,
1123,Z,肇,选择题,2选1,肇事者,肇,肇,造,,
1124,Z,辄,选择题,2选1,动辄得咎,辄,辄,则,,
1125,Z,辄,选择题,2选1,浅尝辄止,辄,辄,则,,
1126,Z,蛰,选择题,2选1,蛰居,蛰,蜇,蛰,,
1127,Z,鸩,选择题,2选1,饮鸩止渴,鸩,鸩,鸠,,
1131,Z,振,选择题,2选1,振奋人心,振,震,振,,
1132,Z,赈,选择题,2选1,赈济灾民,赈,赈,振,,
1141,Z,郑,选择题,2选1,郑重其事,郑,郑,珍,,
1142,Z,症,选择题,2选1,对症下药,症,针,症,,
1144,Z,执,选择题,2选1,仗义执言,执,执,直,,
1145,Z,止,选择题,2选1,叹为观止,止,之,止,,
1146,Z,指,选择题,2选1,令人发指,指,指,直,,
1147,Z,趾,选择题,2选1,趾高气扬,趾,指,趾,,
1156,Z,炙,选择题,2选1,炙手可热,炙,灸,炙,,
1157,Z,峙,选择题,2选1,两军对峙,峙,峙,恃,,
1158,Z,秩,选择题,2选1,秩序井然,秩,轶,秩,,
1175,Z,绉,选择题,2选1,文绉绉,绉绉,诌诌,绉绉,,
1192,Z,足,选择题,2选1,不足为训,足,作,足,,
1193,Z,纂,选择题,2选1,编纂,纂,纂,篡,,
1199,Z,座,选择题,2选1,座无虚席,座,座,坐,,
1200,Z,做,选择题,2选1,做贼心虚,做,作,做,,
1,A,唉,选择题,3选1,唉声叹气,唉,哀,唉,哎,
5,A,艾,选择题,3选1,方兴未艾,艾,艾,哎,碍,
9,A,暗,选择题,3选1,暗无天日,暗,暗,黯,谙,
10,A,黯,选择题,3选1,黯然泪下,黯,暗,黯,谙,
11,A,黯,选择题,3选1,黯然销魂,黯,暗,黯,谙,
12,A,嗷,选择题,3选1,嗷嗷待哺,嗷嗷,嗷嗷,敖敖,熬熬,
24,B ,扒,选择题,3选1,吃里扒外,扒,帕,扒,八,
25,B ,拔,选择题,3选1,坚忍不拔,拔,拔,拨,跋,
26,B ,跋,选择题,3选1,飞扬跋扈,跋,跋,拔,拨,
28,B ,稗,选择题,3选1,稗官野史,稗,裨,稗,捭,
31,B ,葆,选择题,3选1,永葆青春,葆,保,葆,宝,
41,B ,暴,选择题,3选1,武装暴动,暴,爆,曝,暴,
43,B ,爆,选择题,3选1,爆炸,爆,爆,曝,暴,
51,B ,悖,选择题,3选1,并行不悖,悖,悖,背,辈,
56,B ,荜,选择题,3选1,蓬荜生辉,荜,荜,筚,毕,
60,B ,敝,选择题,3选1,敝帚自珍,敝,蔽,弊,敝,
67,B ,碧,选择题,3选1,金碧辉煌,碧,壁,碧,璧,
68,B ,蔽,选择题,3选1,深受蒙蔽,蔽,蔽,敝,弊,
71,B ,璧,选择题,3选1,白璧微瑕,璧,璧,壁,僻,
72,B ,璧,选择题,3选1,原物璧还,璧,璧,必,壁,
74,B ,辨,选择题,3选1,辨析,辨,辩,辨,辫,
75,B ,辨,选择题,3选1,明辨是非,辨,辩,辨,辫,
76,B ,辩,选择题,3选1,能言善辩,辩,辩,辨,辫,
77,B ,辩,选择题,3选1,辩证法,辩,辩,辨,辫,
79,B ,标,选择题,3选1,标本兼治,标,标,表,裱,
30,B ,绊,选择题,3选1,磕磕绊绊,绊绊,拌拌,绊绊,伴伴,
95,C,才,选择题,3选1,雄才大略,才,才,财,材,
96,C,才,选择题,3选1,才疏学浅,才,才,材,财,
97,C,才,选择题,3选1,才华横溢,才,材,财,才,
98,C,才,选择题,3选1,志大才疏,才,材,财,才,
99,C,材,选择题,3选1,自学成材,材,材,财,才,
100,C,材,选择题,3选1,大材小用,材,材,才,财,
101,C,材,选择题,3选1,因材施教,材,才,财,材,
102,C,裁,选择题,3选1,别出心裁,裁,裁,才,材,
103,C,裁,选择题,3选1,仲裁委员,裁,栽,裁,材,
108,C,彩,选择题,3选1,喝彩,彩,采,睬,彩,
109,C,彩,选择题,3选1,张灯结彩,彩,彩,采,睬,
110,C,彩,选择题,3选1,丰富多彩,彩,彩,采,睬,
112,C,粲,选择题,3选1,粲然一笑,粲,灿,璨,粲,
113,C,璨,选择题,3选1,璀璨夺目,璨,粲,灿,璨,
123,C,长,选择题,3选1,从长计议,长,常,长,尝,
124,C,长,选择题,3选1,万古长青,长,常,尝,长,
143,C,成,选择题,3选1,老成持重,成,成,陈,诚,
156,C,忡,选择题,3选1,忧心忡忡,忡忡,忡忡,冲冲,沖沖,
202,C,蹴,选择题,3选1,一蹴而就,蹴,蹴,促,猝,
215,C,厝,选择题,3选1,厝火积薪,厝,措,厝,错,
216,C,措,选择题,3选1,措手不及,措,错,厝,措,
230,D,戴,选择题,3选1,爱戴,戴,戴,带,代,
231,D,戴,选择题,3选1,拥戴,戴,戴,带,代,
241,D,当,选择题,3选1,独当一面,当,挡,档,当,
242,D,当,选择题,3选1,以一当十,当,当,档,挡,
243,D,当,选择题,3选1,势不可当,当,挡,档,当,
244,D,倒,选择题,3选1,投机倒把,倒,倒,道,捣,
245,D,蹈,选择题,3选1,循规蹈矩,蹈,蹈,捣,导,
253,D,凋,选择题,3选1,草木凋零,凋,凋,雕,碉,
254,D,雕,选择题,3选1,雕虫小技,雕,凋,碉,雕,
255,D,吊,选择题,3选1,提心吊胆,吊,吊,掉,调,
257,D,吊,选择题,3选1,形影相吊,吊,吊,调,掉,
258,D,调,选择题,3选1,调虎离山,调,吊,调,掉,
261,D,迭,选择题,3选1,更迭,迭,叠,迭,跌,
267,D,叠,选择题,3选1,层见叠出,叠,跌,迭,叠,
268,D,叠,选择题,3选1,山峦重叠,叠,跌,叠,迭,
269,D,叠,选择题,3选1,叠床架屋,叠,跌,叠,迭,
270,D,叠,选择题,3选1,层峦叠嶂,叠,跌,迭,叠,
271,D,叠,选择题,3选1,重重叠叠,叠叠,迭迭,叠叠,跌跌,
237,D,眈,选择题,3选1,虎视眈眈,眈眈,眈眈,耽耽,单单,
297,E,噩,选择题,3选1,噩耗,噩,厄,噩,恶,
298,E,噩,选择题,3选1,浑浑噩噩,噩噩,厄厄,噩噩,恶恶,
299,E,厄,选择题,3选1,屡遭厄难,厄,厄,噩,恶,
300,F,番,选择题,3选1,三番五次,番,翻,番,帆,
307,F,反,选择题,3选1,反复无常,反,反,返,翻,
311,F,飞,选择题,3选1,流言飞语,飞,飞,非,菲,
313,F,蜚,选择题,3选1,蜚声文坛,蜚,飞,非,蜚,
315,F,匪,选择题,3选1,匪夷所思,匪,非,匪,斐,
316,F,匪,选择题,3选1,受益匪浅,匪,匪,非,斐,
317,F,斐,选择题,3选1,成绩斐然,斐,斐,非,蜚,
318,F,废,选择题,3选1,半途而废,废,废,费,斐,
326,F,棼,选择题,3选1,治丝益棼,棼,纷,棼,忿,
327,F,奋,选择题,3选1,奋笔疾书,奋,愤,忿,奋,
328,F,奋,选择题,3选1,奋发图强,奋,愤,忿,奋,
333,F,辐,选择题,3选1,辐射,辐,幅,辐,副,
336,F,腑,选择题,3选1,肺腑之言,腑,腑,腹,俯,
337,F,副,选择题,3选1,一副对联,副,副,幅,辐,
341,G,概,选择题,3选1,一概而论,概,盖,慨,概,
342,G,概,选择题,3选1,英雄气概,概,概,慨,盖,
343,G,概,选择题,3选1,以偏概全,概,盖,慨,概,
344,G,竿,选择题,3选1,百尺竿头,竿,竿,杆,干,
345,G,竿,选择题,3选1,立竿见影,竿,竿,杆,干,
346,G,旰,选择题,3选1,宵衣旰食,旰,旰,干,甘,
347,G,刚,选择题,3选1,金刚钻头,刚,钢,刚,岗,
348,G,鲠,选择题,3选1,如鲠在喉,鲠,鲠,梗,耿,
349,G,工,选择题,3选1,鬼斧神工,工,功,弓,工,
350,G,工,选择题,3选1,巧夺天工,工,公,弓,工,
351,G,工,选择题,3选1,异曲同工,工,功,弓,工,
352,G,弓,选择题,3选1,左右开弓,弓,工,功,弓,
357,G,勾,选择题,3选1,一笔勾销,勾,勾,沟,钩,
362,G,鼓,选择题,3选1,一鼓作气,鼓,鼓,股,骨,
366,G,贯,选择题,3选1,万贯家财,贯,冠,罐,贯,
367,G,惯,选择题,3选1,司空见惯,惯,怪,惯,贯,
368,G,灌,选择题,3选1,醍醐灌顶,灌,贯,惯,灌,
369,G,灌,选择题,3选1,灌输知识,灌,贯,惯,灌,
370,G,光,选择题,3选1,发扬光大,光,光,广,关,
371,G,犷,选择题,3选1,性格粗犷,犷,犷,旷,广,
374,G,诡,选择题,3选1,行踪诡秘,诡,诡,鬼,跪,
376,G,果,选择题,3选1,食不果腹,果,裹,果,菓,
378,H,撼,选择题,3选1,震撼人心,撼,憾,撼,悍,
379,H,合,选择题,3选1,貌合神离,合,合,和,阖,
383,H,和,选择题,3选1,曲高和寡,和,合,和,喝,
384,H,阖,选择题,3选1,纵横捭阖,阖,阖,和,合,
386,H,哄,选择题,3选1,哄堂大笑,哄,轰,哄,烘,
389,H,洪,选择题,3选1,宽洪大量,洪,洪,哄,鸿,
390,H,洪,选择题,3选1,声音洪亮,洪,宏,洪,鸿,
391,H,鸿,选择题,3选1,判若鸿沟,鸿,宏,洪,鸿,
392,H,乎,选择题,3选1,忘乎所以,乎,乎,夫,伏,
395,H,画,选择题,3选1,画地为牢,画,画,划,化,
396,H,画,选择题,3选1,刻画人物,画,画,划,化,
397,H,画,选择题,3选1,指手画脚,画,画,划,化,
400,H,涣,选择题,3选1,精神涣散,涣,涣,焕,浣,
403,H,荒,选择题,3选1,兵荒马乱,荒,慌,荒,惶,
405,H,皇,选择题,3选1,富丽堂皇,皇,黄,皇,遑,
408,H,诙,选择题,3选1,诙谐,诙,诙,恢,灰,
409,H,会,选择题,3选1,融会贯通,会,汇,会,惠,
418,J,绩,选择题,3选1,丰功伟绩,绩,绩,迹,记,
420,J,跻,选择题,3选1,跻身三强,跻,挤,跻,剂,
423,J,及,选择题,3选1,迫不及待,及,急,及,极,
424,J,及,选择题,3选1,噬脐莫及,及,急,及,极,
425,J,即,选择题,3选1,不即不离,即,即,及,既,
426,J,即,选择题,3选1,望不可即,即,即,及,既,
427,J,即,选择题,3选1,即便如此,即,即,及,既,
428,J,急,选择题,3选1,气急败坏,急,急,极,及,
429,J,疾,选择题,3选1,大声疾呼,疾,急,疾,极,
433,J,疾,选择题,3选1,眼疾手快,疾,疾,急,极,
436,J,疾,选择题,3选1,手疾眼快,疾,急,疾,极,
437,J,嫉,选择题,3选1,嫉贤妒能,嫉,嫉,疾,极,
438,J,嫉,选择题,3选1,愤世嫉俗,嫉,嫉,疾,极,
445,J,济,选择题,3选1,济济一堂,济济,济济,挤挤,汲汲,
449,J,浃,选择题,3选1,汗流浃背,浃,夹,浃,加,
450,J,浃,选择题,3选1,沦肌浃髓,浃,夹,浃,加,
453,J,假,选择题,3选1,不假思索,假,加,假,家,
454,J,坚,选择题,3选1,坚壁清野,坚,艰,坚,监,
455,J,坚,选择题,3选1,坚不可摧,坚,坚,艰,监,
456,J,坚,选择题,3选1,坚忍不拔,坚,坚,艰,监,
457,J,坚,选择题,3选1,披坚执锐,坚,坚,艰,监,
458,J,坚,选择题,3选1,无坚不摧,坚,坚,艰,监,
459,J,艰,选择题,3选1,步履维艰,艰,艰,坚,监,
460,J,艰,选择题,3选1,历尽艰辛,艰,坚,艰,监,
461,J,艰,选择题,3选1,艰难困苦,艰,艰,坚,监,
463,J,缄,选择题,3选1,缄口不言,缄,箴,缄,碱,
464,J,拣,选择题,3选1,披沙拣金,拣,拣,捡,检,
468,X,见,选择题,3选1,图穷匕见,见,见,现,显,
469,J,渐,选择题,3选1,循序渐进,渐,渐,前,见,
472,J,佼,选择题,3选1,佼佼者,佼佼,皎皎,佼佼,娇娇,
